packet_count,byte_count,duration,destination_count,prediction,status,anomaly_score,threat_score
131,6028,3.7102574473691297,3,1,Normal,0.10791381751489987,44.604309124255
94,12385,1.0663513157114246,2,1,Normal,0.09447552371601747,45.27622381419912
140,5502,3.048372233197124,3,1,Normal,0.07814909152177729,46.09254542391113
100,11910,1.905983100791752,2,1,Normal,0.12488254407064453,43.75587279646778
103,14062,3.5806911616377994,1,1,Normal,0.06608813919539291,46.69559304023036
82,11938,1.6974657160199658,4,1,Normal,0.09038267477858447,45.48086626107077
101,9488,3.763750952409864,1,1,Normal,0.1058037938340678,44.70981030829661
132,5206,2.5469413852021496,4,1,Normal,0.08833766230406187,45.5831168847969
81,10134,4.746919954946938,2,1,Normal,0.08266147841735916,45.86692607913204
109,10977,1.550083776583973,3,1,Normal,0.12080057458990012,43.959971270504994
117,12721,2.364265404201034,1,1,Normal,0.09627845680715869,45.18607715964207
81,12035,1.4538940849623565,4,1,Normal,0.07514931122167684,46.24253443891616
143,6484,4.698774473114251,1,1,Normal,0.00817673762343607,49.5911631188282
139,12858,4.509357413523924,4,1,Normal,0.06463267838940617,46.76836608052969
100,5863,2.0317665108606224,1,1,Normal,0.06461317085470519,46.76934145726474
112,7790,3.639936184136716,4,1,Normal,0.10794578560674789,44.60271071966261
137,12408,4.268888800804863,4,1,Normal,0.07887613013240569,46.056193493379716
101,13755,3.2208032463978493,2,1,Normal,0.10414095845175719,44.79295207741214
128,10116,3.118602313424026,4,1,Normal,0.12767562658794868,43.61621867060257
138,11019,1.9674091636018067,2,1,Normal,0.11997296741044589,44.0013516294777
121,6757,1.3724110712235968,4,1,Normal,0.08505082873617265,45.747458563191365
139,12574,4.588863031813308,3,1,Normal,0.08320823121177401,45.8395884394113
94,11374,4.601672228653322,3,1,Normal,0.09545959544776039,45.22702022761198
141,11892,3.532405829093072,3,1,Normal,0.12501536210294217,43.74923189485289
141,6678,2.3561191641948027,4,1,Normal,0.08717389039664225,45.64130548016789
126,8242,2.396838298450644,2,1,Normal,0.11349315544278799,44.325342227860595
141,9636,3.9038227154809575,2,1,Normal,0.0975039868112369,45.12480065943816
130,6059,4.588441039810308,4,1,Normal,0.061832767989823345,46.90836160050883
134,11668,4.548345697060469,3,1,Normal,0.09685933233383903,45.15703338330805
143,14914,4.119502183430496,3,1,Normal,0.04761526826889728,47.61923658655513
82,8157,3.568126584617151,2,1,Normal,0.11367686904092839,44.316156547953575
130,10915,1.336559859980195,3,1,Normal,0.09803579205437757,45.09821039728112
86,14789,1.646514856378455,1,1,Normal,0.050035031394804474,47.49824843025978
100,7693,4.5942167541083165,2,1,Normal,0.09199026041875874,45.40048697906206
118,8627,3.42571623863836,3,1,Normal,0.12758573579969978,43.62071321001501
97,14555,1.0367882064665186,2,1,Normal,0.06824854549088127,46.58757272545594
83,10450,1.4058861714641284,1,1,Normal,0.0783441407469091,46.082792962654544
139,6663,3.6540070764322232,2,1,Normal,0.10353718028875236,44.82314098556238
93,14721,1.0202463353848747,2,1,Normal,0.06050835904661994,46.974582047669
88,10592,1.6432322056699946,2,1,Normal,0.11857540772960995,44.071229613519506
132,12392,3.1949351574663445,2,1,Normal,0.1275661548329859,43.621692258350706
81,6306,3.767580790770773,1,1,Normal,0.07790824747857233,46.10458762607138
139,11776,3.607845038010402,4,1,Normal,0.1093989817245577,44.530050913772115
123,10864,1.8970772378422391,2,1,Normal,0.1304499595309095,43.47750202345453
87,14474,3.848716885390144,2,1,Normal,0.08321439557188659,45.83928022140567
126,12526,1.9489963499872005,3,1,Normal,0.12379685101828519,43.81015744908574
114,13901,2.301598792637071,2,1,Normal,0.0961883503308742,45.19058248345629
115,10575,3.985965620472097,3,1,Normal,0.12631986671098933,43.684006664450536
129,10530,3.5985315961888587,4,1,Normal,0.12168504909721506,43.91574754513925
83,9413,4.396893641976712,1,1,Normal,0.07694268254549541,46.15286587272523
81,8748,3.6304515692013735,1,1,Normal,0.09201216433337489,45.399391783331254
85,5663,3.2732344133418865,4,1,Normal,0.06144966370936117,46.92751681453194
133,6998,1.37469907131237,1,1,Normal,0.048481014019956525,47.575949299002176
83,12994,2.470863212237734,4,1,Normal,0.07046147609243741,46.476926195378134
133,6495,2.060809470726902,4,1,Normal,0.10637087986174487,44.681456006912754
142,8304,1.9759585735163343,4,1,Normal,0.08686204601147823,45.65689769942609
97,8763,4.892042219009783,1,1,Normal,0.056893511363398486,47.155324431830074
123,10232,2.5723908986670416,3,1,Normal,0.1345525929736172,43.27237035131914
113,6853,4.568186220708453,4,1,Normal,0.08406777340035998,45.796611329982
141,11585,3.524554503989052,2,1,Normal,0.12525663068072418,43.73716846596379
93,6291,4.179245214166594,1,1,Normal,0.0665399979790447,46.67300010104777
127,8581,3.0105483724207684,4,1,Normal,0.11809179378645035,44.09541031067749
94,12554,3.3076155385054364,4,1,Normal,0.08978787309034403,45.5106063454828
141,12280,2.970070775275456,2,1,Normal,0.1124961434369185,44.37519282815408
119,6636,1.780971951192178,3,1,Normal,0.10926861391082221,44.53656930445889
132,8696,3.889808461046021,3,1,Normal,0.11169710333702126,44.415144833148936
103,5698,2.123089449763423,3,1,Normal,0.09388891426143997,45.305554286928
105,9737,1.0972638657258154,4,1,Normal,0.06598060986279869,46.70096950686007
139,5854,3.5818891836286717,4,1,Normal,0.0853739680725647,45.731301596371765
