packet_count,byte_count,duration,destination_count
131,6028,3.7102574473691297,3
94,12385,1.0663513157114246,2
140,5502,3.048372233197124,3
100,11910,1.9059831007917518,2
103,14062,3.5806911616377994,1
82,11938,1.6974657160199658,4
101,9488,3.763750952409864,1
132,5206,2.5469413852021496,4
81,10134,4.746919954946938,2
109,10977,1.550083776583973,3
117,12721,2.364265404201034,1
81,12035,1.4538940849623563,4
143,6484,4.698774473114251,1
139,12858,4.509357413523924,4
100,5863,2.0317665108606224,1
112,7790,3.639936184136716,4
137,12408,4.268888800804863,4
101,13755,3.2208032463978493,2
128,10116,3.118602313424026,4
138,11019,1.9674091636018067,2
121,6757,1.3724110712235968,4
139,12574,4.5888630318133075,3
94,11374,4.601672228653322,3
141,11892,3.5324058290930718,3
141,6678,2.3561191641948027,4
126,8242,2.3968382984506436,2
141,9636,3.9038227154809575,2
130,6059,4.588441039810308,4
134,11668,4.548345697060469,3
143,14914,4.1195021834304955,3
82,8157,3.568126584617151,2
130,10915,1.3365598599801953,3
86,14789,1.646514856378455,1
100,7693,4.5942167541083165,2
118,8627,3.4257162386383597,3
97,14555,1.0367882064665186,2
83,10450,1.4058861714641284,1
139,6663,3.6540070764322232,2
93,14721,1.0202463353848747,2
88,10592,1.6432322056699946,2
132,12392,3.1949351574663445,2
81,6306,3.767580790770773,1
139,11776,3.607845038010402,4
123,10864,1.8970772378422391,2
87,14474,3.8487168853901434,2
126,12526,1.9489963499872003,3
114,13901,2.301598792637071,2
115,10575,3.9859656204720966,3
129,10530,3.5985315961888587,4
83,9413,4.396893641976712,1
81,8748,3.6304515692013735,1
85,5663,3.2732344133418865,4
133,6998,1.37469907131237,1
83,12994,2.470863212237734,4
133,6495,2.060809470726902,4
142,8304,1.9759585735163343,4
97,8763,4.892042219009783,1
123,10232,2.5723908986670416,3
113,6853,4.568186220708453,4
141,11585,3.5245545039890516,2
93,6291,4.179245214166594,1
127,8581,3.0105483724207684,4
94,12554,3.3076155385054364,4
141,12280,2.9700707752754556,2
119,6636,1.780971951192178,3
132,8696,3.8898084610460213,3
103,5698,2.123089449763423,3
105,9737,1.0972638657258154,4
139,5854,3.5818891836286713,4
120,13164,1.7084427176281958,4
108,10855,4.761834337411657,1
94,12392,4.8157143080103495,2
124,11528,4.659457560881794,4
144,10249,2.4806348010217776,2
88,10172,1.0618264661154697,2
80,6707,4.713274250350901,3
87,10791,2.7127365932692573,1
142,14925,4.866619276174678,4
90,10535,4.854479908357011,3
87,9931,4.41203782186944,3
114,8510,2.1777955682783428,4
114,5202,2.540390914407701,2
112,9218,4.404546686067428,3
84,13958,2.2676880206251107,2
120,9389,1.67797098674437,1
107,7327,3.2272050498334006,2
86,13004,4.744619096643124,1
91,7931,3.784119186699892,2
113,12777,3.28024468035746,3
112,5197,1.3887059750830741,3
127,12125,3.460028906796679,1
102,6930,4.960215400417053,4
141,11287,1.5603360609460961,1
116,13800,3.073318609454947,1
123,14339,4.509492287711822,2
114,9282,3.9630744710168178,2
144,7511,3.788062963981072,1
126,14986,3.809936335948437,3
82,5659,2.4379646048790207,2
80,7811,2.1743673770579734,4
425,43296,0.9400926772715347,19
417,60445,0.5509358955237333,9
347,43245,0.5854397035600563,10
388,59124,0.715567392458327,9
536,59899,0.6542660479509225,10
571,73919,0.9495024441046814,14
488,73225,0.9498264374126506,8
491,65247,0.8804790401995034,17
368,59222,0.6727632377014101,15
577,56211,0.8208543652141598,17
546,67220,0.7094515081446836,17
375,56646,0.61603033750474,17
453,68649,0.21565031791051917,9
443,53049,0.8300837590624027,10
385,44069,0.8385755281695598,16
484,62580,0.6633457030914155,14
584,61843,0.8383841593941412,11
519,32849,0.6863362946720092,17
368,70158,0.2860159238890708,12
346,53289,0.3465650145890204,9
